Code zone,Code Produit,Code année,Emission de ch4
2,5058,2015,383.3023
2,5058,2016,380.8767
2,5058,2017,371.2863
2,5058,2018,378.88699999999994
2,5058,2019,389.6563
2,5059,2015,24.8209
2,5059,2016,24.6903
2,5059,2017,23.7001
2,5059,2018,24.2499
2,5059,2019,26.1252
2,5060,2015,22.96
2,5060,2016,16.66
2,5060,2017,15.3233
2,5060,2018,16.4555
2,5060,2019,17.8542
2,5066,2015,2.9452
2,5066,2016,3.0734
2,5066,2017,2.7997
2,5066,2018,2.1390000000000002
2,5066,2019,2.9693
2,6795,2015,0.0162
2,6795,2016,0.0317
2,6795,2017,0.0077
2,6795,2018,0.0038
2,6795,2019,0.1432
2,6992,2015,0.0
2,6992,2016,0.0
2,6992,2017,0.0
2,6992,2018,0.0
2,6992,2019,0.0
2,69921,2015,0.0
2,69921,2016,0.0
2,69921,2017,0.0
2,69921,2018,0.0
2,69921,2019,0.0
2,6993,2015,0.0
2,6993,2016,0.0
2,6993,2017,0.0
2,6993,2018,0.0
2,6993,2019,0.0
2,6994,2015,0.1091
2,6994,2016,0.0894
2,6994,2017,0.0888
2,6994,2018,0.0872
2,6994,2019,0.0657
202,5058,2015,596.6567
202,5058,2016,584.0038
202,5058,2017,566.307
202,5058,2018,559.9558
202,5058,2019,548.3149
202,5059,2015,23.7351
202,5059,2016,23.3261
202,5059,2017,22.958000000000002
202,5059,2018,22.6857
202,5059,2019,22.3592
202,5060,2015,0.3164
202,5060,2016,0.3156
202,5060,2017,0.3116
202,5060,2018,0.3105
202,5060,2019,0.3072
202,5066,2015,8.1387
202,5066,2016,6.2455
202,5066,2017,8.0754
202,5066,2018,7.2877
202,5066,2019,7.3202
202,6795,2015,31.8452
202,6795,2016,23.0835
202,6795,2017,40.6197
202,6795,2018,36.2935
202,6795,2019,29.6382
202,6992,2015,1.8676
202,6992,2016,2.6976
202,6992,2017,4.0286
202,6992,2018,9.7933
202,6992,2019,3.8227
202,69921,2015,0.0291
202,69921,2016,0.0104
202,69921,2017,0.0749
202,69921,2018,0.0
202,69921,2019,0.0562
202,6993,2015,20.5849
202,6993,2016,1.8446
202,6993,2017,23.4425
202,6993,2018,8.8112
202,6993,2019,24.0172
202,6994,2015,9.1518
202,6994,2016,6.0632
202,6994,2017,6.7923
202,6994,2018,13.1228
202,6994,2019,13.6732
3,5058,2015,71.5909
3,5058,2016,71.3067
3,5058,2017,69.52600000000001
3,5058,2018,68.111
3,5058,2019,62.4576
3,5059,2015,12.4838
3,5059,2016,12.4019
3,5059,2017,12.1718
3,5059,2018,12.0291
3,5059,2019,11.1899
3,5066,2015,0.2226
3,5066,2016,0.2342
3,5066,2017,0.2303
3,5066,2018,0.2164
3,5066,2019,0.2108
3,6795,2015,0.0431
3,6795,2016,0.0184
3,6795,2017,0.2132
3,6795,2018,0.0281
3,6795,2019,0.0266
3,6992,2015,0.0075
3,6992,2016,0.0125
3,6992,2017,0.0498
3,6992,2018,0.0
3,6992,2019,0.0
3,69921,2015,0.0
3,69921,2016,0.0
3,69921,2017,0.0
3,69921,2018,0.0
3,69921,2019,0.0
3,6993,2015,0.0518
3,6993,2016,0.0
3,6993,2017,0.02
3,6993,2018,0.0
3,6993,2019,0.0
3,6994,2015,0.0932
3,6994,2016,0.0538
3,6994,2017,0.0747
3,6994,2018,0.1066
3,6994,2019,0.1117
4,5058,2015,267.7436
4,5058,2016,265.4546
4,5058,2017,261.4207
4,5058,2018,259.654
4,5058,2019,262.2544
4,5059,2015,10.7977
4,5059,2016,10.8144
4,5059,2017,10.6504
4,5059,2018,10.6829
4,5059,2019,10.7939
4,5060,2015,0.0437
4,5060,2016,0.0386
4,5060,2017,0.0364
4,5060,2018,0.0342
4,5060,2019,0.0322
4,5066,2015,1.9621
4,5066,2016,2.2296
4,5066,2017,2.2936
4,5066,2018,2.2602
4,5066,2019,2.1373
4,6795,2015,0.8947
4,6795,2016,0.4484
4,6795,2017,0.7368
4,6795,2018,0.0128
4,6795,2019,0.5417
4,6992,2015,0.0672
4,6992,2016,0.789
4,6992,2017,5.4685
4,6992,2018,0.0
4,6992,2019,0.5177
4,69921,2015,0.0
4,69921,2016,0.0
4,69921,2017,0.0
4,69921,2018,0.0
4,69921,2019,0.0
4,6993,2015,0.0
4,6993,2016,0.0
4,6993,2017,0.0
4,6993,2018,0.0
4,6993,2019,0.0
4,6994,2015,0.2386
4,6994,2016,0.2299
4,6994,2017,0.2259
4,6994,2018,0.2138
4,6994,2019,0.2115
79,5058,2015,1040.0126
79,5058,2016,1026.4036
79,5058,2017,1015.1066
79,5058,2018,988.5916
79,5058,2019,964.9026
79,5059,2015,325.7814
79,5059,2016,322.4516
79,5059,2017,322.3591
79,5059,2018,311.7649
79,5059,2019,306.0989
79,5066,2015,4.7752
79,5066,2016,4.5818
79,5066,2017,4.6252
79,5066,2018,4.3886
79,5066,2019,4.4907
79,6795,2015,0.003
79,6795,2016,0.0016
79,6795,2017,0.0101
79,6795,2018,0.0116
79,6795,2019,0.0006
79,6992,2015,0.0
79,6992,2016,0.01
79,6992,2017,0.1024
79,6992,2018,0.0125
79,6992,2019,0.0
79,69921,2015,0.0
79,69921,2016,0.0
79,69921,2017,0.0
79,69921,2018,0.0
79,69921,2019,0.0
79,6993,2015,0.0512
79,6993,2016,0.0013
79,6993,2017,0.2207
79,6993,2018,0.6504
79,6993,2019,0.0
79,6994,2015,0.8637
79,6994,2016,0.8263
79,6994,2017,0.8006
79,6994,2018,0.7419
79,6994,2019,0.7295
6,6992,2015,0.0
6,6992,2016,0.0
6,6992,2017,0.0
6,6992,2018,0.0
6,6992,2019,0.0
6,69921,2015,0.0
6,69921,2016,0.0
6,69921,2017,0.0
6,69921,2018,0.0
6,69921,2019,0.0
6,6993,2015,0.0
6,6993,2016,0.0
6,6993,2017,0.0
6,6993,2018,0.0
6,6993,2019,0.0
6,6994,2015,0.0015
6,6994,2016,0.0016
6,6994,2017,0.0016
6,6994,2018,0.0016
6,6994,2019,0.0016
7,5058,2015,191.9125
7,5058,2016,191.6762
7,5058,2017,193.2326
7,5058,2018,195.53599999999997
7,5058,2019,197.83599999999998
7,5059,2015,9.7637
7,5059,2016,9.7968
7,5059,2017,10.0596
7,5059,2018,10.3445
7,5059,2019,10.7506
7,5060,2015,8.4221
7,5060,2016,4.499
7,5060,2017,3.0554
7,5060,2018,2.3568
7,5060,2019,2.3708
7,5066,2015,4.5818
7,5066,2016,6.2264
7,5066,2017,7.2387
7,5066,2018,7.1706
7,5066,2019,7.18
7,6795,2015,493.8958
7,6795,2016,495.9712
7,6795,2017,506.3864
7,6795,2018,433.3217
7,6795,2019,503.75199999999995
7,6992,2015,246.4507
7,6992,2016,230.0926
7,6992,2017,278.4288
7,6992,2018,177.5722
7,6992,2019,249.3987
7,69921,2015,238.1312
7,69921,2016,224.7617
7,69921,2017,274.3438
7,69921,2018,173.9313
7,69921,2019,243.53400000000002
7,6993,2015,699.0039999999999
7,6993,2016,472.8993
7,6993,2017,524.0921
7,6993,2018,526.8418
7,6993,2019,773.653
7,6994,2015,0.055
7,6994,2016,0.0566
7,6994,2017,0.0426
7,6994,2018,0.0453
7,6994,2019,0.0421
258,6992,2015,0.0
258,6992,2016,0.0
258,6992,2017,0.0
258,6992,2018,0.0
258,6992,2019,0.0
258,69921,2015,0.0
258,69921,2016,0.0
258,69921,2017,0.0
258,69921,2018,0.0
258,69921,2019,0.0
258,6993,2015,0.0
258,6993,2016,0.0
258,6993,2017,0.0
258,6993,2018,0.0
258,6993,2019,0.0
258,6994,2015,0.0123
258,6994,2016,0.0113
258,6994,2017,0.0107
258,6994,2018,0.0116
258,6994,2019,0.0117
8,5058,2015,0.5727
8,5058,2016,0.5704
8,5058,2017,0.5721
8,5058,2018,0.5466
8,5058,2019,0.4731
8,5059,2015,0.0332
8,5059,2016,0.0334
8,5059,2017,0.0336
8,5059,2018,0.0327
8,5059,2019,0.0306
8,5066,2015,0.0001
8,5066,2016,0.0001
8,5066,2017,0.0001
8,5066,2018,0.0001
8,5066,2019,0.0001
8,6992,2015,0.0
8,6992,2016,0.0
8,6992,2017,0.0
8,6992,2018,0.0
8,6992,2019,0.0
8,69921,2015,0.0
8,69921,2016,0.0
8,69921,2017,0.0
8,69921,2018,0.0
8,69921,2019,0.0
8,6993,2015,0.0
8,6993,2016,0.0
8,6993,2017,0.0
8,6993,2018,0.0
8,6993,2019,0.0
8,6994,2015,0.0002
8,6994,2016,0.0003
8,6994,2017,0.0002
8,6994,2018,0.0003
8,6994,2019,0.0003
151,6992,2015,0.0
151,6992,2016,0.0
151,6992,2017,0.0
151,6992,2018,0.0
151,6992,2019,0.0
151,69921,2015,0.0
151,69921,2016,0.0
151,69921,2017,0.0
151,69921,2018,0.0
151,69921,2019,0.0
151,6993,2015,0.0
151,6993,2016,0.0
151,6993,2017,0.0
151,6993,2018,0.0
151,6993,2019,0.0
194,5058,2015,102.0313
194,5058,2016,103.0302
194,5058,2017,104.0395
194,5058,2018,107.6474
194,5058,2019,111.9621
194,5059,2015,7.4405
194,5059,2016,7.5878
194,5059,2017,7.6322
194,5059,2018,7.8135
194,5059,2019,8.0461
194,5060,2015,0.0
194,5060,2016,0.0
194,5060,2017,0.0
194,5060,2018,0.0
194,5060,2019,0.0
194,5066,2015,0.1286
194,5066,2016,0.1194
194,5066,2017,0.1109
194,5066,2018,0.1236
194,5066,2019,0.1162
194,6795,2015,0.0946
194,6795,2016,0.0322
194,6795,2017,0.0305
194,6795,2018,0.059000000000000004
194,6795,2019,0.0119
194,6992,2015,0.0
194,6992,2016,0.0
194,6992,2017,0.0
194,6992,2018,0.0
194,6992,2019,0.0
194,69921,2015,0.0
194,69921,2016,0.0
194,69921,2017,0.0
194,69921,2018,0.0
194,69921,2019,0.0
194,6993,2015,0.0
194,6993,2016,0.0
194,6993,2017,0.0
194,6993,2018,0.0
194,6993,2019,0.0
194,6994,2015,2.0335
194,6994,2016,1.7992
194,6994,2017,1.6052
194,6994,2018,1.7107
194,6994,2019,1.6666
9,5058,2015,3084.4557
9,5058,2016,3124.7243
9,5058,2017,3245.0728
9,5058,2018,3223.8574
9,5058,2019,3224.7096
9,5059,2015,65.3802
9,5059,2016,66.5725
9,5059,2017,68.8904
9,5059,2018,68.5052
9,5059,2019,68.6615
9,5060,2015,65.1252
9,5060,2016,58.1672
9,5060,2017,57.148
9,5060,2018,55.4876
9,5060,2019,51.3198
9,5066,2015,18.8675
9,5066,2016,19.7315
9,5066,2017,24.6884
9,5066,2018,26.6601
9,5066,2019,27.1714
9,6795,2015,28.4442
9,6795,2016,44.1219
9,6795,2017,67.9082
9,6795,2018,42.8015
9,6795,2019,27.7562
9,6992,2015,4.6482
9,6992,2016,3.6319999999999997
9,6992,2017,12.7631
9,6992,2018,2.8625
9,6992,2019,2.9989999999999997
9,69921,2015,0.8461
9,69921,2016,1.5051
9,69921,2017,10.6471
9,69921,2018,1.4742
9,69921,2019,1.2559
9,6993,2015,17.829
9,6993,2016,45.9549
9,6993,2017,28.0299
9,6993,2018,58.5401
9,6993,2019,103.3499
9,6994,2015,0.8379
9,6994,2016,0.8013
9,6994,2017,0.8072
9,6994,2018,0.8342
9,6994,2019,0.8413
1,5058,2015,30.2039
1,5058,2016,30.8638
1,5058,2017,28.8316
1,5058,2018,26.0156
1,5058,2019,25.173000000000002
1,5059,2015,1.2804
1,5059,2016,1.3311
1,5059,2017,1.2557
1,5059,2018,1.1508
1,5059,2019,1.146
1,5066,2015,0.1257
1,5066,2016,0.1256
1,5066,2017,0.0932
1,5066,2018,0.0754
1,5066,2019,0.0652
1,6795,2015,0.0759
1,6795,2016,0.0689
1,6795,2017,0.1451
1,6795,2018,0.0888
1,6795,2019,0.12300000000000001
1,6992,2015,0.0075
1,6992,2016,0.0
1,6992,2017,0.0025
1,6992,2018,0.0398
1,6992,2019,0.01
1,69921,2015,0.0
1,69921,2016,0.0
1,69921,2017,0.0
1,69921,2018,0.0
1,69921,2019,0.0
1,6993,2015,0.0
1,6993,2016,0.0
1,6993,2017,0.0
1,6993,2018,0.0
1,6993,2019,0.0
1,6994,2015,0.0488
1,6994,2016,0.0494
1,6994,2017,0.0491
1,6994,2018,0.05
1,6994,2019,0.0505
22,6992,2015,0.0
22,6992,2016,0.0
22,6992,2017,0.0
22,6992,2018,0.0
22,6992,2019,0.0
22,69921,2015,0.0
22,69921,2016,0.0
22,69921,2017,0.0
22,69921,2018,0.0
22,69921,2019,0.0
22,6993,2015,0.0
22,6993,2016,0.0
22,6993,2017,0.0
22,6993,2018,0.0
22,6993,2019,0.0
22,6994,2015,0.02
22,6994,2016,0.0194
22,6994,2017,0.0195
22,6994,2018,0.0198
22,6994,2019,0.0196
10,5058,2015,2289.0499
10,5058,2016,2111.6794
10,5058,2017,2219.2036
10,5058,2018,2216.8504
10,5058,2019,2077.7231
10,5059,2015,155.7799
10,5059,2016,146.7881
10,5059,2017,152.1341
10,5059,2018,153.4673
10,5059,2019,141.5624
10,5060,2015,21.9442
10,5060,2016,8.3869
10,5060,2017,25.8943
10,5060,2018,19.2626
10,5060,2019,2.4003
10,5066,2015,14.2995
10,5066,2016,13.152999999999999
10,5066,2017,14.2673
10,5066,2018,12.8034
10,5066,2019,12.1651
10,6795,2015,924.1742
10,6795,2016,439.8707
10,6795,2017,1154.6231
10,6795,2018,1119.5327
10,6795,2019,597.5602
10,6992,2015,25.5894
10,6992,2016,33.3953
10,6992,2017,21.1144
10,6992,2018,32.5077
10,6992,2019,389.1657
10,69921,2015,1.5665
10,69921,2016,1.7346
10,69921,2017,1.2134
10,69921,2018,8.0669
10,69921,2019,0.9638
10,6993,2015,0.2208
10,6993,2016,5.8204
10,6993,2017,19.3208
10,6993,2018,2.364
10,6993,2019,55.5447
10,6994,2015,1.1259
10,6994,2016,1.1684
10,6994,2017,1.199
10,6994,2018,1.2548
10,6994,2019,1.2909
11,5058,2015,153.0964
11,5058,2016,152.8566
11,5058,2017,153.1071
11,5058,2018,148.8756
11,5058,2019,146.4205
11,5059,2015,39.5662
11,5059,2016,39.4864
11,5059,2017,39.2383
11,5059,2018,38.628
11,5059,2019,38.2746
11,5066,2015,0.8368
11,5066,2016,0.8675
11,5066,2017,0.8842
11,5066,2018,0.8846
11,5066,2019,0.8965
11,6795,2016,0.0002
11,6795,2017,0.004
11,6992,2015,0.0
11,6992,2016,0.0075
11,6992,2017,0.0125
11,6992,2018,0.0324
11,6992,2019,0.0075
11,69921,2015,0.0
11,69921,2016,0.0
11,69921,2017,0.0
11,69921,2018,0.0
11,69921,2019,0.0
11,6993,2015,0.0
11,6993,2016,0.0006
11,6993,2017,0.0
11,6993,2018,0.0
11,6993,2019,0.0
11,6994,2015,0.16399999999999998
11,6994,2016,0.1656
11,6994,2017,0.1601
11,6994,2018,0.1616
11,6994,2019,0.1618
52,5058,2015,154.3489
52,5058,2016,153.0588
52,5058,2017,150.8969
52,5058,2018,148.9306
52,5058,2019,147.4804
52,5059,2015,6.0046
52,5059,2016,5.9074
52,5059,2017,5.8285
52,5059,2018,5.7195
52,5059,2019,5.6612
52,5060,2015,0.3349
52,5060,2016,0.7028
52,5060,2017,1.4288
52,5060,2018,1.1295
52,5060,2019,1.1225
52,5066,2015,0.6815
52,5066,2016,0.7384
52,5066,2017,0.7476
52,5066,2018,0.8237
52,5066,2019,0.818
52,6795,2015,1.1896
52,6795,2016,0.2131
52,6795,2017,0.6373
52,6795,2018,0.4133
52,6795,2019,1.0029
52,6992,2015,0.005
52,6992,2016,0.0
52,6992,2017,0.0897
52,6992,2018,0.0623
52,6992,2019,0.01
52,69921,2015,0.0
52,69921,2016,0.0
52,69921,2017,0.0
52,69921,2018,0.0
52,69921,2019,0.0
52,6993,2015,0.0
52,6993,2016,0.0
52,6993,2017,0.0
52,6993,2018,0.0
52,6993,2019,0.0
52,6994,2015,0.1021
52,6994,2016,0.1009
52,6994,2017,0.0848
52,6994,2018,0.0885
52,6994,2019,0.0859
12,5058,2015,0.1659
12,5058,2016,0.1648
12,5058,2017,0.1652
12,5058,2018,0.1654
12,5058,2019,0.1656
12,5059,2015,0.0713
12,5059,2016,0.0715
12,5059,2017,0.0697
12,5059,2018,0.07
12,5059,2019,0.0704
12,5066,2015,0.0044
12,5066,2016,0.0044
12,5066,2017,0.0045
12,5066,2018,0.0045
12,5066,2019,0.0045
12,6795,2015,0.1631
12,6795,2016,0.187
12,6795,2017,0.312
12,6795,2018,0.035
12,6795,2019,0.0457
12,6992,2015,0.2971
12,6992,2016,0.6746
12,6992,2017,1.3931
12,6992,2018,0.1248
12,6992,2019,0.2745
12,69921,2015,0.1705
12,69921,2016,0.5281
12,69921,2017,1.2913
12,69921,2018,0.1248
12,69921,2019,0.2745
12,6993,2015,0.0
12,6993,2016,0.0
12,6993,2017,0.0
12,6993,2018,0.0
12,6993,2019,0.0
12,6994,2015,0.2013
12,6994,2016,0.1593
12,6994,2017,0.1704
12,6994,2018,0.1926
12,6994,2019,0.1843
13,5058,2015,0.7451
13,5058,2016,0.7673
13,5058,2017,0.7574
13,5058,2018,0.7771
13,5058,2019,0.8029999999999999
13,5059,2015,0.1031
13,5059,2016,0.1594
13,5059,2017,0.2172
13,5059,2018,0.2299
13,5059,2019,0.2332
13,6992,2015,0.0
13,6992,2016,0.0
13,6992,2017,0.0
13,6992,2018,0.0
13,6992,2019,0.0
13,69921,2015,0.0
13,69921,2016,0.0
13,69921,2017,0.0
13,69921,2018,0.0
13,69921,2019,0.0
13,6993,2015,0.0
13,6993,2016,0.0
13,6993,2017,0.0
13,6993,2018,0.0
13,6993,2019,0.0
13,6994,2015,0.0359
13,6994,2016,0.0335
13,6994,2017,0.0307
13,6994,2018,0.0291
13,6994,2019,0.0276
16,5058,2015,1135.932
16,5058,2016,1138.6306
16,5058,2017,1161.1158
16,5058,2018,1169.3973
16,5058,2019,1178.3777
16,5059,2015,84.4499
16,5059,2016,84.735
16,5059,2017,85.9893
16,5059,2018,86.69200000000001
16,5059,2019,87.3011
16,5060,2015,1131.2934
16,5060,2016,1093.4804
16,5060,2017,1154.531
16,5060,2018,1144.5910000000001
16,5060,2019,1144.7454
16,5066,2015,18.4342
16,5066,2016,17.8936
16,5066,2017,18.9111
16,5066,2018,18.7186
16,5066,2019,18.8029
16,6795,2015,0.21100000000000002
16,6795,2016,0.0771
16,6795,2017,0.019
16,6795,2018,0.2457
16,6795,2019,0.2455
16,6992,2015,0.6089
16,6992,2016,0.2577
16,6992,2017,0.054000000000000006
16,6992,2018,0.8146
16,6992,2019,0.4073
16,69921,2015,0.6089
16,69921,2016,0.2577
16,69921,2017,0.054000000000000006
16,69921,2018,0.8146
16,69921,2019,0.4073
16,6993,2015,9.0167
16,6993,2016,2.7621
16,6993,2017,1.4764
16,6993,2018,1.0477
16,6993,2019,0.0318
16,6994,2015,1.1087
16,6994,2016,0.7023
16,6994,2017,0.7363
16,6994,2018,0.6776
16,6994,2019,0.6929
14,5058,2015,0.8443
14,5058,2016,0.8447
14,5058,2017,0.8512
14,5058,2018,0.8548
14,5058,2019,0.8585
14,5059,2015,0.1482
14,5059,2016,0.1606
14,5059,2017,0.1606
14,5059,2018,0.1541
14,5059,2019,0.1557
14,5066,2015,0.0056
14,5066,2016,0.0031
14,5066,2017,0.0049
14,5066,2018,0.0052
14,5066,2019,0.0052
14,6992,2015,0.0
14,6992,2016,0.0
14,6992,2017,0.0
14,6992,2018,0.0
14,6992,2019,0.0
14,69921,2015,0.0
14,69921,2016,0.0
14,69921,2017,0.0
14,69921,2018,0.0
14,69921,2019,0.0
14,6993,2015,0.0
14,6993,2016,0.0
14,6993,2017,0.0
14,6993,2018,0.0
14,6993,2019,0.0
14,6994,2015,0.0052
