Code zone,Code Produit,Code année,Emission indirecte de NO2
2,5061,2015,0.1076
2,5061,2016,0.4937
2,5061,2017,0.7190000000000001
2,5061,2018,0.2381
2,5061,2019,0.4836
2,5062,2015,0.4772
2,5062,2016,0.4754
2,5062,2017,0.4758
2,5062,2018,0.4843
2,5062,2019,0.4625
2,5063,2015,2.5854
2,5063,2016,2.5578
2,5063,2017,2.5633
2,5063,2018,2.6057
2,5063,2019,2.4844
2,5064,2015,0.2795
2,5064,2016,0.2686
2,5064,2017,0.2388
2,5064,2018,0.2022
2,5064,2019,0.27399999999999997
202,5061,2015,1.8232
202,5061,2016,1.67
202,5061,2017,2.4004
202,5061,2018,2.4004
202,5061,2019,2.1569
202,5062,2015,0.3657
202,5062,2016,0.3649
202,5062,2017,0.3639
202,5062,2018,0.3591
202,5062,2019,0.3466
202,5063,2015,6.5368
202,5063,2016,6.3947
202,5063,2017,6.2414
202,5063,2018,6.1736
202,5063,2019,6.0619
202,5064,2015,0.4689
202,5064,2016,0.3993
202,5064,2017,0.6535
202,5064,2018,0.5692
202,5064,2019,0.5077
3,5061,2015,0.188
3,5061,2016,0.2191
3,5061,2017,0.2001
3,5061,2018,0.1265
3,5061,2019,0.1819
3,5062,2015,0.2302
3,5062,2016,0.2249
3,5062,2017,0.2205
3,5062,2018,0.2161
3,5062,2019,0.2005
3,5063,2015,0.3538
3,5063,2016,0.3584
3,5063,2017,0.3511
3,5063,2018,0.3427
3,5063,2019,0.3206
3,5064,2015,0.0274
3,5064,2016,0.0275
3,5064,2017,0.0275
3,5064,2018,0.0264
3,5064,2019,0.0259
4,5061,2015,0.38
4,5061,2016,0.3585
4,5061,2017,0.3585
4,5061,2018,0.3585
4,5061,2019,0.3585
4,5062,2015,0.1658
4,5062,2016,0.1659
4,5062,2017,0.1652
4,5062,2018,0.162
4,5062,2019,0.1632
4,5063,2015,3.7743
4,5063,2016,3.7574
4,5063,2017,3.7339
4,5063,2018,3.7276
4,5063,2019,3.7837
4,5064,2015,0.2209
4,5064,2016,0.221
4,5064,2017,0.2237
4,5064,2018,0.3255
4,5064,2019,0.3066
79,5061,2015,8.7364
79,5061,2016,8.4719
79,5061,2017,7.6436
79,5061,2018,6.8552
79,5061,2019,7.6569
79,5062,2015,5.077
79,5062,2016,5.0621
79,5062,2017,5.0375
79,5062,2018,4.9011
79,5062,2019,4.8092
79,5063,2015,1.7638
79,5063,2016,1.7515
79,5063,2017,1.7314
79,5063,2018,1.6922
79,5063,2019,1.6541
79,5064,2015,1.9240000000000002
79,5064,2016,1.7934
79,5064,2017,1.8041
79,5064,2018,1.5225
79,5064,2019,1.7658
7,5061,2015,0.1302
7,5061,2016,0.1061
7,5061,2017,0.1364
7,5061,2018,0.1121
7,5061,2019,0.1182
7,5062,2015,0.3584
7,5062,2016,0.3623
7,5062,2017,0.3823
7,5062,2018,0.4022
7,5062,2019,0.4248
7,5063,2015,1.9133
7,5063,2016,1.9152
7,5063,2017,1.9331
7,5063,2018,1.9584
7,5063,2019,1.9955
7,5064,2015,0.1279
7,5064,2016,0.1453
7,5064,2017,0.1485
7,5064,2018,0.1601
7,5064,2019,0.1626
8,5061,2015,0.0
8,5061,2016,0.0003
8,5061,2017,0.0
8,5061,2018,0.0
8,5061,2019,0.0001
8,5062,2015,0.0015
8,5062,2016,0.0015
8,5062,2017,0.0016
8,5062,2018,0.0014
8,5062,2019,0.0014
8,5063,2015,0.0054
8,5063,2016,0.0054
8,5063,2017,0.0054
8,5063,2018,0.0053
8,5063,2019,0.0046
8,5064,2015,0.0
8,5064,2016,0.0
8,5064,2017,0.0
8,5064,2018,0.0
8,5064,2019,0.0
194,5061,2015,0.9918
194,5061,2016,1.0311
194,5061,2017,0.8851
194,5061,2018,0.8851
194,5061,2019,0.9338
194,5062,2015,0.1414
194,5062,2016,0.1479
194,5062,2017,0.1486
194,5062,2018,0.1546
194,5062,2019,0.1583
194,5063,2015,1.6963
194,5063,2016,1.7254
194,5063,2017,1.7404
194,5063,2018,1.7834
194,5063,2019,1.8346
194,5064,2015,0.0674
194,5064,2016,0.063
194,5064,2017,0.0624
194,5064,2018,0.0529
194,5064,2019,0.0586
9,5061,2015,3.0821
9,5061,2016,4.7474
9,5061,2017,4.9838
9,5061,2018,5.9269
9,5061,2019,5.2194
9,5062,2015,1.6233
9,5062,2016,1.2466
9,5062,2017,1.2512
9,5062,2018,1.222
9,5062,2019,1.2312
9,5063,2015,15.7881
9,5063,2016,16.2566
9,5063,2017,16.8508
9,5063,2018,16.7235
9,5063,2019,16.7691
9,5064,2015,4.6492
9,5064,2016,4.6901
9,5064,2017,5.0104
9,5064,2018,4.3168
9,5064,2019,5.2605
1,5061,2015,0.3232
1,5061,2016,0.7471
1,5061,2017,0.4602
1,5061,2018,0.4602
1,5061,2019,0.5558
1,5062,2015,0.0283
1,5062,2016,0.0312
1,5062,2017,0.0304
1,5062,2018,0.0289
1,5062,2019,0.0312
1,5063,2015,0.3144
1,5063,2016,0.3208
1,5063,2017,0.2998
1,5063,2018,0.2724
1,5063,2019,0.2633
1,5064,2015,0.0302
1,5064,2016,0.0302
1,5064,2017,0.0176
1,5064,2018,0.018000000000000002
1,5064,2019,0.0123
10,5061,2015,6.6534
10,5061,2016,7.5285
10,5061,2017,7.6291
10,5061,2018,7.2073
10,5061,2019,7.455
10,5062,2015,0.9956
10,5062,2016,0.9408
10,5062,2017,0.9854
10,5062,2018,1.0042
10,5062,2019,0.9811
10,5063,2015,20.1397
10,5063,2016,18.7916
10,5063,2017,19.8337
10,5063,2018,19.6437
10,5063,2019,18.4812
10,5064,2015,1.7511
10,5064,2016,1.655
10,5064,2017,2.2727
10,5064,2018,1.5996
10,5064,2019,1.422
11,5061,2015,0.615
11,5061,2016,0.6018
11,5061,2017,0.584
11,5061,2018,0.584
11,5061,2019,0.5899
11,5062,2015,0.6599
11,5062,2016,0.6597
11,5062,2017,0.6579999999999999
11,5062,2018,0.6474
11,5062,2019,0.6398
11,5063,2015,0.2896
11,5063,2016,0.2902
11,5063,2017,0.2934
11,5063,2018,0.2713
11,5063,2019,0.2672
11,5064,2015,0.1768
11,5064,2016,0.2034
11,5064,2017,0.1749
11,5064,2018,0.1714
11,5064,2019,0.1926
52,5061,2015,0.4583
52,5061,2016,0.4422
52,5061,2017,0.3661
52,5061,2018,0.6074
52,5061,2019,0.4719
52,5062,2015,0.0963
52,5062,2016,0.0936
52,5062,2017,0.0932
52,5062,2018,0.0905
52,5062,2019,0.0902
52,5063,2015,1.7113
52,5063,2016,1.7082
52,5063,2017,1.6929
52,5063,2018,1.6758
52,5063,2019,1.6665
52,5064,2015,0.1357
52,5064,2016,0.1397
52,5064,2017,0.1333
52,5064,2018,0.1489
52,5064,2019,0.158
12,5061,2015,0.0034
12,5061,2016,0.0034
12,5061,2017,0.0034
12,5061,2018,0.0034
12,5061,2019,0.0034
12,5062,2015,0.0051
12,5062,2016,0.0051
12,5062,2017,0.0049
12,5062,2018,0.005
12,5062,2019,0.005
12,5063,2015,0.0054
12,5063,2016,0.0053
12,5063,2017,0.0053
12,5063,2018,0.0053
12,5063,2019,0.0053
12,5064,2015,0.0
12,5064,2016,0.0
12,5064,2017,0.0
12,5064,2018,0.0
12,5064,2019,0.0
13,5061,2015,0.011000000000000001
13,5061,2016,0.0011
13,5061,2017,0.0008
13,5061,2018,0.0157
13,5061,2019,0.0058
13,5062,2015,0.0028
13,5062,2016,0.0048
13,5062,2017,0.0066
13,5062,2018,0.0073
13,5062,2019,0.0074
13,5063,2015,0.0157
13,5063,2016,0.0212
13,5063,2017,0.0259
13,5063,2018,0.0281
13,5063,2019,0.0285
13,5064,2015,0.0
13,5064,2016,0.0
13,5064,2017,0.0
13,5064,2018,0.0
13,5064,2019,0.0
16,5061,2015,6.7462
16,5061,2016,5.9871
16,5061,2017,6.3351
16,5061,2018,6.7955
16,5061,2019,6.3726
16,5062,2015,1.6473
16,5062,2016,1.6672
16,5062,2017,1.7062
16,5062,2018,1.7321
16,5062,2019,1.7154
16,5063,2015,7.6664
16,5063,2016,7.6911
16,5063,2017,8.0445
16,5063,2018,8.1264
16,5063,2019,8.2147
16,5064,2015,2.3907
16,5064,2016,2.3344
16,5064,2017,2.4962
16,5064,2018,2.4906
16,5064,2019,2.4995
14,5061,2015,0.0021
14,5061,2016,0.0014
14,5061,2017,0.0028
14,5061,2018,0.0012
14,5061,2019,0.0018
14,5062,2015,0.0094
14,5062,2016,0.0105
14,5062,2017,0.0102
14,5062,2018,0.0098
14,5062,2019,0.0099
14,5063,2015,0.0099
14,5063,2016,0.0107
14,5063,2017,0.0106
14,5063,2018,0.0103
14,5063,2019,0.0104
14,5064,2015,0.0
14,5064,2016,0.0
14,5064,2017,0.0
14,5064,2018,0.0
14,5064,2019,0.0
57,5061,2015,2.2664
57,5061,2016,1.7799
57,5061,2017,2.0778
57,5061,2018,2.0679
57,5061,2019,1.9752
57,5062,2015,1.328
57,5062,2016,1.3133
57,5062,2017,1.3253
57,5062,2018,1.2973
57,5062,2019,1.2758
57,5063,2015,0.3501
57,5063,2016,0.3444
57,5063,2017,0.3466
57,5063,2018,0.3433
57,5063,2019,0.3385
57,5064,2015,0.317
57,5064,2016,0.2772
57,5064,2017,0.299
57,5064,2018,0.2454
57,5064,2019,0.2812
255,5061,2015,0.905
255,5061,2016,0.8775
255,5061,2017,0.8705
255,5061,2018,0.8705
255,5061,2019,0.8728
255,5062,2015,0.9872
255,5062,2016,0.9579
255,5062,2017,0.9256
255,5062,2018,0.9508
255,5062,2019,0.9345
255,5063,2015,0.3111
255,5063,2016,0.3093
255,5063,2017,0.2982
255,5063,2018,0.3002
255,5063,2019,0.2977
255,5064,2015,0.1405
255,5064,2016,0.1078
255,5064,2017,0.1287
