Code Produit,Code année,Emission de ch4,Emission de CO2,Emission de N2O,Emission indirecte de NO2
5058,2015,383.3023,,,
5058,2016,380.8767,,,
5058,2017,371.2863,,,
5058,2018,378.88699999999994,,,
5058,2019,389.6563,,,
5059,2015,24.8209,,,
5059,2016,24.6903,,,
5059,2017,23.7001,,,
5059,2018,24.2499,,,
5059,2019,26.1252,,,
5060,2015,22.96,,,
5060,2016,16.66,,,
5060,2017,15.3233,,,
5060,2018,16.4555,,,
5060,2019,17.8542,,,
5066,2015,2.9452,,,
5066,2016,3.0734,,,
5066,2017,2.7997,,,
5066,2018,2.1390000000000002,,,
5066,2019,2.9693,,,
6795,2015,0.0162,,,
6795,2016,0.0317,,,
6795,2017,0.0077,,,
6795,2018,0.0038,,,
6795,2019,0.1432,,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.1091,231.8452,,
6994,2016,0.0894,181.6056,,
6994,2017,0.0888,132.7927,,
6994,2018,0.0872,132.8417,,
6994,2019,0.0657,117.0798,,
5058,2015,596.6567,,,
5058,2016,584.0038,,,
5058,2017,566.307,,,
5058,2018,559.9558,,,
5058,2019,548.3149,,,
5059,2015,23.7351,,,
5059,2016,23.3261,,,
5059,2017,22.958000000000002,,,
5059,2018,22.6857,,,
5059,2019,22.3592,,,
5060,2015,0.3164,,,
5060,2016,0.3156,,,
5060,2017,0.3116,,,
5060,2018,0.3105,,,
5060,2019,0.3072,,,
5066,2015,8.1387,,,
5066,2016,6.2455,,,
5066,2017,8.0754,,,
5066,2018,7.2877,,,
5066,2019,7.3202,,,
6795,2015,31.8452,,,
6795,2016,23.0835,,,
6795,2017,40.6197,,,
6795,2018,36.2935,,,
6795,2019,29.6382,,,
6992,2015,1.8676,,,
6992,2016,2.6976,,,
6992,2017,4.0286,,,
6992,2018,9.7933,,,
6992,2019,3.8227,,,
69921,2015,0.0291,,,
69921,2016,0.0104,,,
69921,2017,0.0749,,,
69921,2018,0.0,,,
69921,2019,0.0562,,,
6993,2015,20.5849,1735.6182,,
6993,2016,1.8446,214.9677,,
6993,2017,23.4425,1981.7049,,
6993,2018,8.8112,788.3330000000001,,
6993,2019,24.0172,2012.3584,,
6994,2015,9.1518,6109.689,,
6994,2016,6.0632,10121.699,,
6994,2017,6.7923,10385.6541,,
6994,2018,13.1228,7299.3284,,
6994,2019,13.6732,7363.9523,,
5058,2015,71.5909,,,
5058,2016,71.3067,,,
5058,2017,69.52600000000001,,,
5058,2018,68.111,,,
5058,2019,62.4576,,,
5059,2015,12.4838,,,
5059,2016,12.4019,,,
5059,2017,12.1718,,,
5059,2018,12.0291,,,
5059,2019,11.1899,,,
5066,2015,0.2226,,,
5066,2016,0.2342,,,
5066,2017,0.2303,,,
5066,2018,0.2164,,,
5066,2019,0.2108,,,
6795,2015,0.0431,,,
6795,2016,0.0184,,,
6795,2017,0.2132,,,
6795,2018,0.0281,,,
6795,2019,0.0266,,,
6992,2015,0.0075,,,
6992,2016,0.0125,,,
6992,2017,0.0498,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0518,7.6443,,
6993,2016,0.0,0.0,,
6993,2017,0.02,2.9557,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0932,277.2587,,
6994,2016,0.0538,270.9307,,
6994,2017,0.0747,309.3101,,
6994,2018,0.1066,315.8057,,
6994,2019,0.1117,322.5184,,
5058,2015,267.7436,,,
5058,2016,265.4546,,,
5058,2017,261.4207,,,
5058,2018,259.654,,,
5058,2019,262.2544,,,
5059,2015,10.7977,,,
5059,2016,10.8144,,,
5059,2017,10.6504,,,
5059,2018,10.6829,,,
5059,2019,10.7939,,,
5060,2015,0.0437,,,
5060,2016,0.0386,,,
5060,2017,0.0364,,,
5060,2018,0.0342,,,
5060,2019,0.0322,,,
5066,2015,1.9621,,,
5066,2016,2.2296,,,
5066,2017,2.2936,,,
5066,2018,2.2602,,,
5066,2019,2.1373,,,
6795,2015,0.8947,,,
6795,2016,0.4484,,,
6795,2017,0.7368,,,
6795,2018,0.0128,,,
6795,2019,0.5417,,,
6992,2015,0.0672,,,
6992,2016,0.789,,,
6992,2017,5.4685,,,
6992,2018,0.0,,,
6992,2019,0.5177,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.2386,393.7252,,
6994,2016,0.2299,380.7262,,
