Code Produit,Code année,Emission de N2O,Emission indirecte de NO2
5061,2015,0.3312,0.1076
5061,2016,1.5191,0.4937
5061,2017,2.2122,0.7190000000000001
5061,2018,0.7325,0.2381
5061,2019,1.4879,0.4836
5062,2015,1.1229,0.4772
5062,2016,1.1186,0.4754
5062,2017,1.1196,0.4758
5062,2018,1.1396,0.4843
5062,2019,1.0882,0.4625
5063,2015,7.6892,2.5854
5063,2016,7.6174,2.5578
5063,2017,7.5636,2.5633
5063,2018,7.7016,2.6057
5063,2019,7.5701,2.4844
5064,2015,1.2424,0.2795
5064,2016,1.1938,0.2686
5064,2017,1.0615,0.2388
5064,2018,0.8988,0.2022
5064,2019,1.2176,0.27399999999999997
5061,2015,5.61,1.8232
5061,2016,5.1386,1.67
5061,2017,7.3857,2.4004
5061,2018,7.3857,2.4004
5061,2019,6.6367,2.1569
5062,2015,0.8606,0.3657
5062,2016,0.8585,0.3649
5062,2017,0.8562,0.3639
5062,2018,0.8449,0.3591
5062,2019,0.8156,0.3466
5063,2015,24.6844,6.5368
5063,2016,24.1946,6.3947
5063,2017,23.6167,6.2414
5063,2018,23.3472,6.1736
5063,2019,22.9329,6.0619
5064,2015,2.084,0.4689
5064,2016,1.7745,0.3993
5064,2017,2.9046,0.6535
5064,2018,2.5299,0.5692
5064,2019,2.2565,0.5077
5061,2015,0.5783,0.188
5061,2016,0.6741,0.2191
5061,2017,0.6158,0.2001
5061,2018,0.3892,0.1265
5061,2019,0.5597,0.1819
5062,2015,0.5417,0.2302
5062,2016,0.5291,0.2249
5062,2017,0.5189,0.2205
5062,2018,0.5085,0.2161
5062,2019,0.4718,0.2005
5063,2015,0.9896,0.3538
5063,2016,0.9971,0.3584
5063,2017,0.9751,0.3511
5063,2018,0.9527,0.3427
5063,2019,0.8857,0.3206
5064,2015,0.1219,0.0274
5064,2016,0.1222,0.0275
5064,2017,0.1224,0.0275
5064,2018,0.1174,0.0264
5064,2019,0.1151,0.0259
5061,2015,1.1691,0.38
5061,2016,1.1031,0.3585
5061,2017,1.1031,0.3585
5061,2018,1.1031,0.3585
5061,2019,1.1031,0.3585
5062,2015,0.3902,0.1658
5062,2016,0.3902,0.1659
5062,2017,0.3887,0.1652
5062,2018,0.3812,0.162
5062,2019,0.384,0.1632
5063,2015,11.0814,3.7743
5063,2016,11.0083,3.7574
5063,2017,10.8363,3.7339
5063,2018,10.7532,3.7276
5063,2019,10.8663,3.7837
5064,2015,0.9816,0.2209
5064,2016,0.9823,0.221
5064,2017,0.9940000000000001,0.2237
5064,2018,1.4469,0.3255
5064,2019,1.3625,0.3066
5061,2015,26.8811,8.7364
5061,2016,26.0674,8.4719
5061,2017,23.5188,7.6436
5061,2018,21.093000000000004,6.8552
5061,2019,23.5597,7.6569
5062,2015,11.9458,5.077
5062,2016,11.9108,5.0621
5062,2017,11.8529,5.0375
5062,2018,11.532,4.9011
5062,2019,11.3159,4.8092
5063,2015,7.7171,1.7638
5063,2016,7.6421,1.7515
5063,2017,7.5464,1.7314
5063,2018,7.3622,1.6922
5063,2019,7.187,1.6541
5064,2015,8.5509,1.9240000000000002
5064,2016,7.9707,1.7934
5064,2017,8.0182,1.8041
5064,2018,6.7666,1.5225
5064,2019,7.8479,1.7658
5061,2015,0.4006,0.1302
5061,2016,0.3265,0.1061
5061,2017,0.4198,0.1364
5061,2018,0.3448,0.1121
5061,2019,0.3637,0.1182
5062,2015,0.8433,0.3584
5062,2016,0.8525,0.3623
5062,2017,0.8995,0.3823
5062,2018,0.9462,0.4022
5062,2019,0.9995,0.4248
5063,2015,7.7694,1.9133
5063,2016,7.7612,1.9152
5063,2017,7.8239,1.9331
5063,2018,7.9169,1.9584
5063,2019,8.0657,1.9955
5064,2015,0.5684,0.1279
5064,2016,0.6459,0.1453
5064,2017,0.6602,0.1485
5064,2018,0.7115,0.1601
5064,2019,0.7228,0.1626
5061,2015,0.0001,0.0
5061,2016,0.001,0.0003
5061,2017,0.0001,0.0
5061,2018,0.0001,0.0
5061,2019,0.0004,0.0001
5062,2015,0.0036,0.0015
5062,2016,0.0036,0.0015
5062,2017,0.0037,0.0016
5062,2018,0.0034,0.0014
5062,2019,0.0032,0.0014
5063,2015,0.0155,0.0054
5063,2016,0.0154,0.0054
5063,2017,0.0154,0.0054
5063,2018,0.0152,0.0053
5063,2019,0.0133,0.0046
5064,2015,0.0,0.0
5064,2016,0.0,0.0
5064,2017,0.0,0.0
5064,2018,0.0,0.0
5064,2019,0.0,0.0
5061,2015,3.0517,0.9918
5061,2016,3.1727,1.0311
5061,2017,2.7233,0.8851
5061,2018,2.7233,0.8851
5061,2019,2.8731,0.9338
5062,2015,0.3327,0.1414
5062,2016,0.3479,0.1479
5062,2017,0.3495,0.1486
5062,2018,0.3638,0.1546
5062,2019,0.3725,0.1583
5063,2015,5.0916,1.6963
5063,2016,5.2002,1.7254
5063,2017,5.2423,1.7404
5063,2018,5.4458,1.7834
5063,2019,5.6524,1.8346
5064,2015,0.2997,0.0674
5064,2016,0.2799,0.063
5064,2017,0.2774,0.0624
5064,2018,0.235,0.0529
5064,2019,0.2605,0.0586
5061,2015,9.4833,3.0821
5061,2016,14.6074,4.7474
5061,2017,15.3347,4.9838
5061,2018,18.2367,5.9269
5061,2019,16.0596,5.2194
5062,2015,3.8196,1.6233
5062,2016,2.9332,1.2466
5062,2017,2.9441,1.2512
5062,2018,2.8752,1.222
5062,2019,2.8969,1.2312
5063,2015,68.8054,15.7881
5063,2016,71.0318,16.2566
5063,2017,73.805,16.8508
5063,2018,73.3449,16.7235
5063,2019,73.4365,16.7691
5064,2015,20.6633,4.6492
5064,2016,20.8447,4.6901
5064,2017,22.2683,5.0104
5064,2018,19.1858,4.3168
5064,2019,23.3799,5.2605
5061,2015,0.9944,0.3232
5061,2016,2.2989,0.7471
5061,2017,1.416,0.4602
5061,2018,1.416,0.4602
5061,2019,1.7103,0.5558
5062,2015,0.0665,0.0283
5062,2016,0.0733,0.0312
5062,2017,0.0714,0.0304
5062,2018,0.068,0.0289
5062,2019,0.0733,0.0312
5063,2015,1.3296,0.3144
5063,2016,1.3538,0.3208
5063,2017,1.2657,0.2998
5063,2018,1.15,0.2724
5063,2019,1.1109,0.2633
5064,2015,0.1343,0.0302
5064,2016,0.1343,0.0302
5064,2017,0.0781,0.0176
5064,2018,0.0801,0.018000000000000002
5064,2019,0.0548,0.0123
5061,2015,20.472,6.6534
5061,2016,23.1646,7.5285
5061,2017,23.4741,7.6291
5061,2018,22.1763,7.2073
5061,2019,22.9383,7.455
5062,2015,2.3426,0.9956
5062,2016,2.2137,0.9408
5062,2017,2.3186,0.9854
5062,2018,2.3627,1.0042
5062,2019,2.3084,0.9811
5063,2015,71.1792,20.1397
5063,2016,65.8921,18.7916
5063,2017,69.378,19.8337
5063,2018,69.1241,19.6437
5063,2019,64.934,18.4812
5064,2015,7.7828,1.7511
5064,2016,7.3555,1.655
5064,2017,10.1009,2.2727
5064,2018,7.1093,1.5996
5064,2019,6.32,1.422
5061,2015,1.8924,0.615
5061,2016,1.8518,0.6018
5061,2017,1.7969,0.584
5061,2018,1.7969,0.584
5061,2019,1.8152,0.5899
5062,2015,1.5526,0.6599
5062,2016,1.5521,0.6597
5062,2017,1.5483,0.6579999999999999
5062,2018,1.5234,0.6474
5062,2019,1.5053,0.6398
5063,2015,1.2239,0.2896
5063,2016,1.2245,0.2902
5063,2017,1.2314,0.2934
5063,2018,1.1683,0.2713
5063,2019,1.1496,0.2672
5064,2015,0.7859999999999999,0.1768
5064,2016,0.9041,0.2034
5064,2017,0.7772,0.1749
5064,2018,0.7617,0.1714
5064,2019,0.8559,0.1926
5061,2015,1.4101,0.4583
5061,2016,1.3606,0.4422
5061,2017,1.1265,0.3661
5061,2018,1.869,0.6074
5061,2019,1.452,0.4719
5062,2015,0.2267,0.0963
5062,2016,0.2201,0.0936
