Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2014","2014","1000 personnes","33370.794","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2014","2014","1000 personnes","17138.803","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2014","2014","1000 personnes","16232.001","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2014","2014","1000 personnes","24703.798","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2014","2014","1000 personnes","8054.222","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","34413.603","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2015","2015","1000 personnes","17686.166","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2015","2015","1000 personnes","16727.437","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","25368.923","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","8367.571","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","35383.032","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2016","2016","1000 personnes","18186.994","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2016","2016","1000 personnes","17196.034","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2016","2016","1000 personnes","25985.093","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2016","2016","1000 personnes","8670.939","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","36296.113","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","18651.985","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","17644.126","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","26558.609","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","8971.472","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","37171.921","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2018","2018","1000 personnes","19093.043","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2018","2018","1000 personnes","18078.879","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","27099.874","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","9273.302","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2014","2014","1000 personnes","54544.186","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2014","2014","1000 personnes","26924.05","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2014","2014","1000 personnes","27620.134","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2014","2014","1000 personnes","19463.91","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2014","2014","1000 personnes","35075.661","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","55386.367","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2015","2015","1000 personnes","27337.004","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2015","2015","1000 personnes","28049.365","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","19446.876","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","35844.349","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","56207.646","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2016","2016","1000 personnes","27735.713","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2016","2016","1000 personnes","28471.936","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2016","2016","1000 personnes","19414.491","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2016","2016","1000 personnes","36600.982","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","57009.756","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","28121.437","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","28888.314","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","19369.002","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","37348.154","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","57792.518","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2018","2018","1000 personnes","28495.093","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2018","2018","1000 personnes","29297.427","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","19311.652","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","38086.769","X","Sources internationales sûres","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2014","2014","1000 personnes","2896.305","X","Sources internationales sûres",""
